timestamp_iso,timestamp_unix,ear,mar,reason,fps
2025-12-14T21:43:19.781225+00:00,1765748599.781,0.0488,0.0021,eyes_closed,29.02
2025-12-14T21:43:56.225470+00:00,1765748636.225,0.2854,0.7090,yawn,29.54
2025-12-14T21:44:35.473971+00:00,1765748675.474,0.1258,0.5865,eyes_closed,27.90
2025-12-14T21:44:42.817609+00:00,1765748682.818,0.0926,0.6531,eyes_closed,29.42
2025-12-14T21:44:49.473582+00:00,1765748689.474,0.1161,0.0096,eyes_closed,30.29
2025-12-14T21:44:55.620180+00:00,1765748695.620,0.0705,0.7047,yawn,29.24
2025-12-14T21:50:47.112561+00:00,1765749047.113,0.3036,0.6559,yawn,30.33
2025-12-14T21:50:56.817827+00:00,1765749056.818,0.2874,0.6224,yawn,30.43
2025-12-14T21:51:05.421250+00:00,1765749065.421,0.1367,0.0065,eyes_closed,30.27
2025-12-14T21:52:13.158567+00:00,1765749133.159,0.1700,0.0050,eyes_closed,29.93
2025-12-14T21:53:11.478231+00:00,1765749191.478,0.3001,0.6920,yawn,31.22
2025-12-14T21:53:17.486218+00:00,1765749197.486,0.3192,0.6654,yawn,30.21
2025-12-14T21:53:32.192652+00:00,1765749212.193,0.1671,0.0053,eyes_closed,30.10
